ReqID;Effort;Sat
a.1;805;120.224539
a.1.1;354;0
a.1.2;187;0
a.1.3;140;0
a.1.4;124;0
a.2;411;76.2662057
a.3.1;158;229.7398772
a.3.2;276;196.3560388
a.3.3;189;258.5154591
a.3.4;76;234.0227055
a.3.5;76;0
a.3.6;9;162.2654591
b.1.1;4;2
b.1.2;8;0
b.1.3;4;0
b.1.4;11;27
b.1.5;24;0
b.1.6;8;2
b.1.7;4;0
b.1.8;57;0
b.1.9;13;0
b.2.1;242;0
b.3.1;99;10
b.3.2;34;112
b.3.3;76;0
b.3.4;31;20
b.4;208;10
b.5;13;0
b.6.1;9;0
b.7;49;10
c.1;137;43.62950731
c.1.1;29;0
c.1.2;108;0
c.2.1;12;44.12950731
c.2.10;12;64.12950732
c.2.2;21;0
c.2.3;53;0
c.2.4;8;0
c.2.5;8;0
c.2.6;8;0
c.2.7;8;54.12950731
c.2.8;4;0
c.2.9;8;44.12950731
c.3.1;11;196.3555174
c.3.2;195;0
c.4.1;49;80.99171636
c.4.2;4;90.15838302
c.4.3;8;64.3250497
c.4.4;12;85.58229607
c.4.5;24;0
c.4.6;27;0
c.5.1;122;128.3138507
d.1.1;330;159.2058608
d.1.2;85;100.6388867
d.2;428;60.75889111
d.2.1;60;0
d.2.2;184;0
d.2.3;184;0
d.3;184;60.75889111
d.4.1;38;55.75889111
d.5.1;78;0
d.5.2;77;157.4255578
d.5.3;144;122.4255578
d.5.4;76;0
d.5.5;44;0
d.6;75;105.7588911
d.7;75;0
e.1.1;103;0
e.1.2;223;27.63157895
e.1.3;118;0
e.2;143;28.63157895
e.3;24;0
f.1;35;16
f.2.1;188;46
f.2.2;32;0
f.3;37;0
f.4.1;135;71
f.5;199;0
f.6.1;177;71
f.6.2;37;6
f.6.3;21;0
g.1.1;120;18
g.1.2;295;246.2058081
g.2.1;291;31.7003367
g.2.2;189;61.7003367
g.2.3;252;47.11700337
g.3.1;366;0
g.3.2;366;138.6956522
g.4.1;99;0
g.4.2;35;0
g.4.3;123;0
g.4.4;30;55
g.4.5;79;26.31578947
g.5;27;26.31578947
h.1;75;3.872180451
h.2.1;158;8.538847118
h.2.2;13;0
h.2.3;99;20.71276016
h.2.4;276;18.53884712
h.3;99;63.23043693
h.4;27;13.87218045
h.5;7000;3.872180451
h.5.1;7000;0
i.1.1;70;0
i.1.2;137;0
i.1.3;13;0
i.1.4;13;0
i.2.1;27;0
i.2.2;27;0
i.2.3;27;65
i.2.4;27;0
i.2.5;27;20
i.2.6;27;0
i.3.1;39;15
i.3.2;59;0
i.3.3;23;40
i.3.4;25;15
i.3.5;152;15
i.3.6;123;35
j.1.1;223;63.15789474
j.1.2;19;0
j.10;19;0
j.11;19;0
j.12;19;0
j.13;19;0
j.2.1;47;10
j.2.2;27;15
j.2.3;27;20
j.2.4;52;0
j.3.1;11;0
j.3.2;81;0
j.3.3;15;5
j.3.4;58;30
j.4.1;26;5
j.5.1;20;4.298245614
j.5.2;373;0
j.5.3;254;0
j.5.4;262;4.298245614
j.5.5;16;34.29824561
j.6.1;23;0
j.6.2;316;15
j.6.3;342;110
j.6.4;46;40
j.7.1;66;0
j.7.2;66;0
j.8;27;0
j.9;27;0
