ReqID;Effort;Sat
a.1;805;321.0999776
a.1.1;354;0
a.1.2;187;0
a.1.3;140;0
a.1.4;124;0
a.2;411;153.7655759
a.3.1;158;406.3542429
a.3.2;276;372.7221776
a.3.3;189;383.6533113
a.3.4;76;336.3344707
a.3.5;76;0
a.3.6;9;261.3776703
b.1.1;4;3.063829787
b.1.2;8;0
b.1.3;4;0
b.1.4;11;35.19148936
b.1.5;24;0
b.1.6;8;3.063829787
b.1.7;4;0
b.1.8;57;0
b.1.9;13;0
b.2.1;242;0
b.3.1;99;10
b.3.2;34;112
b.3.3;76;0
b.3.4;31;40
b.4;208;49.45841392
b.5;13;1.063829787
b.6.1;9;0
b.7;49;10
c.1;137;61.75727237
c.1.1;29;0
c.1.2;108;0
c.2.1;12;289.0754542
c.2.10;12;109.0754542
c.2.2;21;0
c.2.3;53;0
c.2.4;8;0
c.2.5;8;0
c.2.6;8;0
c.2.7;8;109.0754542
c.2.8;4;0
c.2.9;8;94.07545418
c.3.1;11;358.7225987
c.3.2;195;0
c.4.1;49;129.1160124
c.4.2;4;149.3937902
c.4.3;8;115.6408351
c.4.4;12;155.7359334
c.4.5;24;0
c.4.6;27;0
c.5.1;122;244.5698209
d.1.1;330;239.501803
d.1.2;85;185.1795007
d.2;428;90.44145972
d.2.1;60;0
d.2.2;184;0
d.2.3;184;0
d.3;184;90.44145972
d.4.1;38;85.44145972
d.5.1;78;0
d.5.2;77;249.6450796
d.5.3;144;199.6450796
d.5.4;76;0
d.5.5;44;0
d.6;75;185.4414597
d.7;75;0
e.1.1;103;0
e.1.2;223;35.13157895
e.1.3;118;0
e.2;143;36.13157895
e.3;24;0
f.1;35;29
f.2.1;188;59
f.2.2;32;0
f.3;37;0
f.4.1;135;84
f.5;199;0
f.6.1;177;84
f.6.2;37;31.82051282
f.6.3;21;0
g.1.1;120;18
g.1.2;295;435.904149
g.2.1;291;39.37705867
g.2.2;189;67.37102549
g.2.3;252;66.46039201
g.3.1;366;0
g.3.2;366;198.0046779
g.4.1;99;0
g.4.2;35;0
g.4.3;123;7.272727272
g.4.4;30;121.5789474
g.4.5;79;26.31578947
g.5;27;26.31578947
h.1;75;56.01503759
h.2.1;158;11.70734529
h.2.2;13;0
h.2.3;99;42.4381501
h.2.4;276;20.68170426
h.3;99;73.57284814
h.4;27;16.01503759
h.5;7000;56.01503759
h.5.1;7000;0
i.1.1;70;30
i.1.2;137;0
i.1.3;13;0
i.1.4;13;0
i.2.1;27;0
i.2.2;27;0
i.2.3;27;95
i.2.4;27;0
i.2.5;27;20
i.2.6;27;0
i.3.1;39;15
i.3.2;59;0
i.3.3;23;47.27272727
i.3.4;25;15
i.3.5;152;15
i.3.6;123;55.52631579
j.1.1;223;93.15789474
j.1.2;19;0
j.10;19;0
j.11;19;0
j.12;19;0
j.13;19;0
j.2.1;47;20
j.2.2;27;15
j.2.3;27;20
j.2.4;52;0
j.3.1;11;0
j.3.2;81;0
j.3.3;15;10
j.3.4;58;30
j.4.1;26;5
j.5.1;20;25.35087719
j.5.2;373;0
j.5.3;254;0
j.5.4;262;19.29824561
j.5.5;16;34.29824561
j.6.1;23;10
j.6.2;316;15
j.6.3;342;213.1578947
j.6.4;46;40
j.7.1;66;42.10526316
j.7.2;66;31.57894736
j.8;27;0
j.9;27;0
